urn,title,company,location,link,seniority_level
4201663959,Data Scientist (Global Ranking),PedidosYa,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/data-scientist-global-ranking-at-pedidosya-4201663959,Mid-Senior level
4217454324,Junior Data Scientist (f/m/d),AUTO1 Group,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/junior-data-scientist-f-m-d-at-auto1-group-4217454324,Entry level
4217259778,Machine Learning Engineer (f/m/d),Certivity,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/machine-learning-engineer-f-m-d-at-certivity-4217259778,Mid-Senior level
4180273755,Data Scientist (Global Ranking),Delivery Hero,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/data-scientist-global-ranking-at-delivery-hero-4180273755,Mid-Senior level
4199115609,Data Scientist,Dataiku,"Frankfurt, Hesse, Germany",https://de.linkedin.com/jobs/view/data-scientist-at-dataiku-4199115609,Mid-Senior level
4217294382,Machine Learning Engineer,g2 Recruitment,Stuttgart Region,https://de.linkedin.com/jobs/view/machine-learning-engineer-at-g2-recruitment-4217294382,Associate
4198375616,AI & Data Scientist (a),AMDT,"Landau in der Pfalz, Rhineland-Palatinate, Germany",https://de.linkedin.com/jobs/view/ai-data-scientist-a-at-amdt-4198375616,Mid-Senior level
4217615149,Data Scientist (m/f/d),Knauf IT,"Kitzingen, Bavaria, Germany",https://de.linkedin.com/jobs/view/data-scientist-m-f-d-at-knauf-it-4217615149,Entry level
4217431537,Machine Learning Engineer,Noir,"Lower Saxony, Germany",https://de.linkedin.com/jobs/view/machine-learning-engineer-at-noir-4217431537,Mid-Senior level
4217264009,Applied Optimization Scientist (m/w/d),akeno,"Hamburg, Germany",https://de.linkedin.com/jobs/view/applied-optimization-scientist-m-w-d-at-akeno-4217264009,Associate
4217438940,Data Scientist (m/w/d) - Gigafactory Berlin-Brandenburg,Tesla,"Grünheide, Brandenburg, Germany",https://de.linkedin.com/jobs/view/data-scientist-m-w-d-gigafactory-berlin-brandenburg-at-tesla-4217438940,Mid-Senior level
4216989002,Deep Learning Intern - 2025,NVIDIA,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/deep-learning-intern-2025-at-nvidia-4216989002,Internship
4215688483,AI Python Software Engineer (w/m/d),VisionAI,"Bielefeld, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/ai-python-software-engineer-w-m-d-at-visionai-4215688483,Mid-Senior level
4217435064,Data Scientist / Data Analyst - Energiewirtschaft (m|w|d),MITNETZ STROM,Germany,https://de.linkedin.com/jobs/view/data-scientist-data-analyst-energiewirtschaft-m-w-d-at-mitnetz-strom-4217435064,Associate
4192749203,Machine Learning Engineer AI Automation (LLMs),BMG,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/machine-learning-engineer-ai-automation-llms-at-bmg-4192749203,Associate
4218602462,Data Scientist / AI Developer (m/w/d),BRUNO BADER GMBH + CO. KG,"Pforzheim, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/data-scientist-ai-developer-m-w-d-at-bruno-bader-gmbh-%2B-co-kg-4218602462,Mid-Senior level
4218147947,Internship Clinical Data Science,TieTalent,"Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/internship-clinical-data-science-at-tietalent-4218147947,Internship
4214733816,Data Scientist (Fluid Dynamics) (m/f/d),Nova Ltd.,"Bad Urach, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/data-scientist-fluid-dynamics-m-f-d-at-nova-ltd-4214733816,Associate
4218420461,DataScience-Manager/in (w/m/d),Bayerische Akademie der Wissenschaften,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/datascience-manager-in-w-m-d-at-bayerische-akademie-der-wissenschaften-4218420461,Mid-Senior level
4218183692,Data Scientist R&D (m/w/d),TieTalent,"Cologne, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/data-scientist-r-d-m-w-d-at-tietalent-4218183692,Entry level
4200548473,Research Engineering Intern,Microsoft,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/research-engineering-intern-at-microsoft-4200548473,Not Applicable
4217272202,Data Scientist,Bundesanzeiger Verlag GmbH,"Cologne, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/data-scientist-at-bundesanzeiger-verlag-gmbh-4217272202,Associate
4214785327,AI Solution Engineer (f/m/x),paretos,"Heidelberg, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/ai-solution-engineer-f-m-x-at-paretos-4214785327,Mid-Senior level
4193423218,Lead Data Scientist AI and Forecasting,BMG,"Berlin, Germany",https://de.linkedin.com/jobs/view/lead-data-scientist-ai-and-forecasting-at-bmg-4193423218,Mid-Senior level
4137402798,BI Data Scientist (m/f/d),ABOUT YOU,"Hamburg, Hamburg, Germany",https://de.linkedin.com/jobs/view/bi-data-scientist-m-f-d-at-about-you-4137402798,Entry level
4188457600,Trainee Focus Data Science (m/w/d) - Board Area Germany,Deutsche Telekom,"Bonn, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/trainee-focus-data-science-m-w-d-board-area-germany-at-deutsche-telekom-4188457600,Internship
4217433185,Data Scientist / Data Analyst - Energiewirtschaft (m|w|d),MITNETZ STROM,"Sachsen, Bavaria, Germany",https://de.linkedin.com/jobs/view/data-scientist-data-analyst-energiewirtschaft-m-w-d-at-mitnetz-strom-4217433185,Associate
4217609809,"Senior Data Scientist, Growth Analytics",Moloco,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/senior-data-scientist-growth-analytics-at-moloco-4217609809,Mid-Senior level
4216043499,(Senior) Data Scientist (Python) (m/w/d),corpuls | GS Elektromedizinische Geräte G. Stemple GmbH,"Kaufering, Bavaria, Germany",https://de.linkedin.com/jobs/view/senior-data-scientist-python-m-w-d-at-corpuls-gs-elektromedizinische-ger%C3%A4te-g-stemple-gmbh-4216043499,Mid-Senior level
4215686360,Student / Internship Data Scientists,LexisNexis Risk Solutions,"Karlsruhe, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/student-internship-data-scientists-at-lexisnexis-risk-solutions-4215686360,Internship
4218603493,Creative Technologist / AI Engineer / ML Engineer (m|w|d),Wiethe Group GmbH,"Bremen, Bremen, Germany",https://de.linkedin.com/jobs/view/creative-technologist-ai-engineer-ml-engineer-m-w-d-at-wiethe-group-gmbh-4218603493,Entry level
4217429634,Data Scientist R&D (m/w/d),LANXESS,"Cologne, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/data-scientist-r-d-m-w-d-at-lanxess-4217429634,Associate
4217673155,Lead NLP Scientist,SproutsAI,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/lead-nlp-scientist-at-sproutsai-4217673155,Not Applicable
4177741062,Software Engineer - Machine Learning,Applied Intuition,"Stuttgart, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/software-engineer-machine-learning-at-applied-intuition-4177741062,Mid-Senior level
4217257225,AI Engineer (m/w/d),We4IT GmbH,"Bremen, Bremen, Germany",https://de.linkedin.com/jobs/view/ai-engineer-m-w-d-at-we4it-gmbh-4217257225,Mid-Senior level
4214789454,"Software Developer (Python, AI, Mobile) - Intern / Working Student (m/f/d)",Bloom Future,"Heilbronn, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/software-developer-python-ai-mobile-intern-working-student-m-f-d-at-bloom-future-4214789454,Internship
4201020740,AI/LLM Engineer (m/w/d),T-Systems International,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/ai-llm-engineer-m-w-d-at-t-systems-international-4201020740,Entry level
4201024363,AI/LLM Engineer (m/w/d),T-Systems International,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/ai-llm-engineer-m-w-d-at-t-systems-international-4201024363,Entry level
4105576707,(Junior) Consultant Data Science & Artificial Intelligence (m/w/d),BearingPoint,"Frankfurt, Hesse, Germany",https://de.linkedin.com/jobs/view/junior-consultant-data-science-artificial-intelligence-m-w-d-at-bearingpoint-4105576707,Entry level
4216049865,Python KI Software Entwickler (m/w/d),engAIge GmbH,Germany,https://de.linkedin.com/jobs/view/python-ki-software-entwickler-m-w-d-at-engaige-gmbh-4216049865,Not Applicable
4214787616,Data Scientist Predictive Maintenance (m/w/d),Working Talent Deutschland,"Neustadt am Rübenberge, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/data-scientist-predictive-maintenance-m-w-d-at-working-talent-deutschland-4214787616,Entry level
4218603477,Solutions Engineering Internship,Seqana,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/solutions-engineering-internship-at-seqana-4218603477,Internship
4201026268,AI/LLM Engineer (m/w/d),T-Systems International,"Frankfurt, Hesse, Germany",https://de.linkedin.com/jobs/view/ai-llm-engineer-m-w-d-at-t-systems-international-4201026268,Entry level
4201023449,AI/LLM Engineer (m/w/d),T-Systems International,"Düsseldorf, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/ai-llm-engineer-m-w-d-at-t-systems-international-4201023449,Entry level
4201023451,AI/LLM Engineer (m/w/d),T-Systems International,"Bonn, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/ai-llm-engineer-m-w-d-at-t-systems-international-4201023451,Entry level
4217292173,Python Developer,IBU Consulting,"Mannheim, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/python-developer-at-ibu-consulting-4217292173,Mid-Senior level
4200151905,"Applied Scientist, EUCF L&D, EUCF L&D LEAP team",Amazon,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/applied-scientist-eucf-l-d-eucf-l-d-leap-team-at-amazon-4200151905,Not Applicable
4214268537,AI Engineer (m/f/x),osapiens,"Mannheim, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/ai-engineer-m-f-x-at-osapiens-4214268537,Mid-Senior level
4201023453,AI/LLM Engineer (m/w/d),T-Systems International,"Hamburg, Hamburg, Germany",https://de.linkedin.com/jobs/view/ai-llm-engineer-m-w-d-at-t-systems-international-4201023453,Entry level
4217610018,Head of Data Science and Machine Learning,On,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/head-of-data-science-and-machine-learning-at-on-4217610018,Executive
3913771693,Senior Data Scientist,Index Exchange,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/senior-data-scientist-at-index-exchange-3913771693,Mid-Senior level
4137633017,Artificial Intelligence for Video Compression - Research Scientist,Qualcomm,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/artificial-intelligence-for-video-compression-research-scientist-at-qualcomm-4137633017,Not Applicable
4201026270,AI/LLM Engineer (m/w/d),T-Systems International,"Darmstadt, Hesse, Germany",https://de.linkedin.com/jobs/view/ai-llm-engineer-m-w-d-at-t-systems-international-4201026270,Entry level
4215533238,Senior Data Scientist - Marketing Science,BoF Careers,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/senior-data-scientist-marketing-science-at-bof-careers-4215533238,Mid-Senior level
4200136991,Senior Data Scientist / Data Engineer Capital Markets m/w/d,DZ BANK AG,"Frankfurt am Main, Hesse, Germany",https://de.linkedin.com/jobs/view/senior-data-scientist-data-engineer-capital-markets-m-w-d-at-dz-bank-ag-4200136991,Associate
4216024443,(Senior) AI/ML Engineer -Embedded/Automotive Performance Optimization (f/m/d),Cinemo,"Karlsruhe, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/senior-ai-ml-engineer-embedded-automotive-performance-optimization-f-m-d-at-cinemo-4216024443,Associate
4217249953,Senior Data Scientist / Senior AI Engineer (mwd),HMS Analytical Software | Consulting & End-to-End Solutions for Data Science & Analytics,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/senior-data-scientist-senior-ai-engineer-mwd-at-hms-analytical-software-consulting-end-to-end-solutions-for-data-science-analytics-4217249953,Mid-Senior level
4182942276,Junior Development Engineer (m/f/d),HygroMatik GmbH,"Henstedt, Schleswig-Holstein, Germany",https://de.linkedin.com/jobs/view/junior-development-engineer-m-f-d-at-hygromatik-gmbh-4182942276,Entry level
4182901472,Senior Data Scientist (f/m/d),Cinemo,"Karlsruhe, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/senior-data-scientist-f-m-d-at-cinemo-4182901472,Associate
4215505878,Data Scientist* Computer Vision,Fraunhofer IAIS,"Sankt Augustin, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/data-scientist-computer-vision-at-fraunhofer-iais-4215505878,Entry level
4215506883,Data Scientist Arabic NLP,Fraunhofer IAIS,"Sankt Augustin, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/data-scientist-arabic-nlp-at-fraunhofer-iais-4215506883,Entry level
4183850002,"Software Development Engineer, Ads Product (m / f / d)",Omio,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/software-development-engineer-ads-product-m-f-d-at-omio-4183850002,Mid-Senior level
